REF_AREA,Reference_area,Frequency of observation,Measure,Unit_of_measure,INSURANCE_TYPE,Insurance_types,TIME_PERIOD,OBS_VALUE,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier
AUS,Australia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1995,34.9,A,Normal value,0,Units
AUS,Australia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1996,33.7,A,Normal value,0,Units
AUS,Australia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1997,32.1,A,Normal value,0,Units
AUS,Australia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1998,39.3,B,Time series break,0,Units
AUS,Australia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1999,39.4,A,Normal value,0,Units
AUS,Australia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2000,49.9,A,Normal value,0,Units
AUS,Australia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2001,51,A,Normal value,0,Units
AUS,Australia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2002,50.7,A,Normal value,0,Units
AUS,Australia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2003,50.1,A,Normal value,0,Units
AUS,Australia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2004,49.7,A,Normal value,0,Units
AUS,Australia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2005,49.6,A,Normal value,0,Units
AUS,Australia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2006,49.8,A,Normal value,0,Units
AUS,Australia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2007,50.5,A,Normal value,0,Units
AUS,Australia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2008,51.5,A,Normal value,0,Units
AUS,Australia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2009,51.9,A,Normal value,0,Units
AUS,Australia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2010,52.5,A,Normal value,0,Units
AUS,Australia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2011,53.3,A,Normal value,0,Units
AUS,Australia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2012,54.2,A,Normal value,0,Units
AUS,Australia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2013,54.8,A,Normal value,0,Units
AUS,Australia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2014,55.4,A,Normal value,0,Units
AUS,Australia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2015,55.8,A,Normal value,0,Units
AUS,Australia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2016,55.5,A,Normal value,0,Units
AUS,Australia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2017,54.9,A,Normal value,0,Units
AUS,Australia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2018,54.3,A,Normal value,0,Units
AUS,Australia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2019,53.7,A,Normal value,0,Units
AUS,Australia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2020,53.1,A,Normal value,0,Units
AUS,Australia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2021,54.4,A,Normal value,0,Units
AUS,Australia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2022,54.9,A,Normal value,0,Units
AUS,Australia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2023,54.8,A,Normal value,0,Units
AUT,Austria,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1995,34.2,A,Normal value,0,Units
AUT,Austria,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1996,33.9,A,Normal value,0,Units
AUT,Austria,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1997,33.4,A,Normal value,0,Units
AUT,Austria,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1998,33,A,Normal value,0,Units
AUT,Austria,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1999,31.7,A,Normal value,0,Units
AUT,Austria,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2000,31.8,A,Normal value,0,Units
AUT,Austria,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2001,31.9,A,Normal value,0,Units
AUT,Austria,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2002,31.6,A,Normal value,0,Units
AUT,Austria,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2003,31.2,A,Normal value,0,Units
AUT,Austria,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2004,31,A,Normal value,0,Units
AUT,Austria,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2005,33.5,A,Normal value,0,Units
AUT,Austria,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2006,33.5,A,Normal value,0,Units
AUT,Austria,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2007,33.7,A,Normal value,0,Units
AUT,Austria,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2008,33.9,A,Normal value,0,Units
AUT,Austria,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2009,33.8,A,Normal value,0,Units
AUT,Austria,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2010,33.9,A,Normal value,0,Units
AUT,Austria,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2011,34.2,A,Normal value,0,Units
AUT,Austria,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2012,34.5,A,Normal value,0,Units
AUT,Austria,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2013,35.2,A,Normal value,0,Units
AUT,Austria,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2014,35.7,A,Normal value,0,Units
AUT,Austria,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2015,36.2,A,Normal value,0,Units
AUT,Austria,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2016,36.5,A,Normal value,0,Units
