REFERENCE_AREA,TIME_PERIOD,OBS_VALUE
Austria,1999,99
Belgium,1999,99
Canada,1999,100
Colombia,1999,56.8
Denmark,1999,100
Finland,1999,100
France,1999,99.9
Germany,1999,99.8
Greece,1999,100
Iceland,1999,100
Ireland,1999,100
Israel,1999,100
Italy,1999,100
Japan,1999,100
Korea,1999,100
Netherlands,1999,98.1
New Zealand,1999,100
Norway,1999,100
Portugal,1999,100
Slovak Republic,1999,100
Slovenia,1999,98
Sweden,1999,100
Switzerland,1999,100
United Kingdom,1999,100
United States,1999,85.7
Austria,2005,98
Belgium,2005,99
Canada,2005,100
Chile,2005,85.3
Colombia,2005,82.6
Denmark,2005,100
Estonia,2005,94.1
Finland,2005,100
France,2005,99.9
Germany,2005,99.8
Greece,2005,100
Iceland,2005,100
Ireland,2005,100
Israel,2005,100
Italy,2005,100
Japan,2005,100
Korea,2005,100
Netherlands,2005,97.9
New Zealand,2005,100
Norway,2005,100
Poland,2005,97.3
Portugal,2005,100
Slovenia,2005,99
Sweden,2005,100
Switzerland,2005,100
TÃ¼rkiye,2005,86.6
United Kingdom,2005,100
United States,2005,85.4
Austria,2014,99.9
Belgium,2014,99
Canada,2014,100
Chile,2014,94.2
Colombia,2014,96.6
Costa Rica,2014,94.7
Denmark,2014,100
Estonia,2014,93.9
Finland,2014,100
France,2014,99.9
Germany,2014,99.9
Iceland,2014,100
Ireland,2014,100
Israel,2014,100
Italy,2014,100
Japan,2014,100
Korea,2014,100
Lithuania,2014,92
New Zealand,2014,100
Norway,2014,100
Poland,2014,91.3
Portugal,2014,100
Romania,2014,86.2
Slovak Republic,2014,94.2
Slovenia,2014,100
Spain,2014,99.8
Sweden,2014,100
Switzerland,2014,100
TÃ¼rkiye,2014,98.4
United Kingdom,2014,100
United States,2014,88.5
Austria,2021,99.9
Belgium,2021,98.6
Bulgaria,2021,88.2
Canada,2021,100
Chile,2021,94.3
Costa Rica,2021,90.9
Denmark,2021,100
Estonia,2021,95.9
Finland,2021,100
France,2021,99.9
Germany,2021,99.9
Greece,2021,100
Iceland,2021,100
Ireland,2021,100
Israel,2021,100
Italy,2021,100
Japan,2021,100
Korea,2021,100
Lithuania,2021,98.8
Luxembourg,2021,100
New Zealand,2021,100
Norway,2021,100
Poland,2021,94
Portugal,2021,100
Romania,2021,85.5
Slovak Republic,2021,95
Slovenia,2021,100
Spain,2021,100
Sweden,2021,100
Switzerland,2021,100
TÃ¼rkiye,2021,98.8
United Kingdom,2021,100
United States,2021,90.8
